Date,Close,Signal,Log_Returns,Peak,Valley,train_target
2020-03-31,6.590000152587891,0.0,,,,0
2020-04-01,6.076749801635742,1.0,-0.08108339072479054,,6.076749801635742,1
2020-04-02,6.386750221252441,1.0,0.04975558550451076,,,0
2020-04-03,6.097750186920166,1.0,-0.04630568511719061,,,0
2020-04-06,6.710000038146973,1.0,0.09567907533727817,,,0
2020-04-07,6.475749969482422,1.0,-0.03553453038763512,,,0
2020-04-08,6.673749923706055,1.0,0.030117483119265435,,,0
2020-04-09,6.573750019073486,1.0,-0.015097460577434578,,,0
2020-04-13,6.746250152587891,1.0,0.02590236874601531,,,0
2020-04-14,7.098750114440918,1.0,0.05093191076188819,,,0
2020-04-15,7.020999908447266,1.0,-0.011013083335513391,,,0
2020-04-16,7.367499828338623,-1.0,0.048172767334629635,7.367499828338623,,-1
2020-04-17,7.308000087738037,-1.0,-0.008108761808386374,,,0
2020-04-20,7.176249980926514,-1.0,-0.018192690679665502,,,0
2020-04-21,6.737750053405762,1.0,-0.06305091061739176,,6.737750053405762,1
2020-04-22,7.153749942779541,1.0,0.05991063751805341,,,0
2020-04-23,7.100249767303467,1.0,-0.0075067248205415976,,,0
2020-04-24,7.239749908447266,1.0,0.01945670084688809,,,0
2020-04-27,7.427000045776367,1.0,0.025535352081811423,,,0
2020-04-28,7.283999919891357,1.0,-0.019441863983196677,,,0
2020-04-29,7.46150016784668,-1.0,0.024076338016947325,7.46150016784668,,-1
2020-04-30,7.307000160217285,-1.0,-0.020923674148788783,,,0
2020-05-01,7.069499969482422,1.0,-0.0330430630026646,,7.069499969482422,1
2020-05-04,7.282249927520752,1.0,0.029650118705794926,,,0
2020-05-05,7.343500137329102,1.0,0.008375716473790845,,,0
2020-05-06,7.44474983215332,1.0,0.013693476530359102,,,0
2020-05-07,7.6217498779296875,1.0,0.023496922664705717,,,0
2020-05-08,7.8125,1.0,0.02471902895490553,,,0
2020-05-11,8.065500259399414,1.0,0.031870723034788745,,,0
2020-05-12,7.802499771118164,1.0,-0.03315157226893459,,,0
2020-05-13,7.78000020980835,1.0,-0.0028878006704198427,,,0
2020-05-14,8.030500411987305,1.0,0.03169047866568057,,,0
2020-05-15,8.490750312805176,1.0,0.05573052866125635,,,0
2020-05-18,8.750249862670898,1.0,0.030104883210741736,,,0
2020-05-19,8.805500030517578,1.0,0.006294274023110497,,,0
2020-05-20,8.970000267028809,1.0,0.018509176121058953,,,0
2020-05-21,8.775250434875488,1.0,-0.021950397308168824,,,0
2020-05-22,9.026249885559082,-1.0,0.02820167757294269,9.026249885559082,,-1
2020-05-26,8.71774959564209,-1.0,-0.034775855384741636,,,0
2020-05-27,8.525250434875488,-1.0,-0.022328731456751745,,,0
2020-05-28,8.487000465393066,1.0,-0.004496763439552177,,8.487000465393066,1
2020-05-29,8.875499725341797,1.0,0.04475900503353066,,,0
2020-06-01,8.806249618530273,1.0,-0.007832987510275741,,,0
2020-06-02,8.825249671936035,1.0,0.0021552405098908324,,,0
2020-06-03,8.769499778747559,1.0,-0.006337126870388119,,,0
2020-06-04,8.766500473022461,1.0,-0.00034207410028311064,,,0
2020-06-05,8.920000076293945,1.0,0.017358262259045874,,,0
2020-06-08,8.805000305175781,1.0,-0.012976178537508796,,,0
2020-06-09,9.045999526977539,1.0,0.02700284215732083,,,0
2020-06-10,9.36674976348877,-1.0,0.034843540414219366,9.36674976348877,,-1
2020-06-11,8.796250343322754,1.0,-0.06284062584987961,,8.796250343322754,1
2020-06-12,8.932499885559082,1.0,0.015370764774479519,,,0
2020-06-15,9.173749923706055,1.0,0.026649838456903874,,,0
2020-06-16,9.068499565124512,1.0,-0.011539314439757888,,,0
2020-06-17,9.236000061035156,1.0,0.01830207597981793,,,0
2020-06-18,9.218000411987305,1.0,-0.0019507591085461012,,,0
2020-06-19,9.261249542236328,1.0,0.004680840328778948,,,0
2020-06-22,9.526749610900879,-1.0,0.02826461100746361,9.526749610900879,,-1
2020-06-23,9.449999809265137,-1.0,-0.008088869006274724,,,0
2020-06-24,9.23550033569336,-1.0,-0.022959930936678846,,,0
2020-06-25,9.489999771118164,-1.0,0.027183798118234903,,,0
2020-06-26,9.154999732971191,1.0,-0.03593843954468792,,9.154999732971191,1
2020-06-29,9.199999809265137,1.0,0.004903314364008251,,,0
2020-06-30,9.497750282287598,1.0,0.031851494848290016,,,0
2020-07-01,9.529999732971191,1.0,0.003389731475064247,,,0
2020-07-02,9.612250328063965,1.0,0.008593671174692641,,,0
2020-07-06,9.839249610900879,1.0,0.023341088280512803,,,0
2020-07-07,9.871749877929688,1.0,0.0032976812261376167,,,0
2020-07-08,10.215999603271484,1.0,0.03427794956855967,,,0
2020-07-09,10.508999824523926,-1.0,0.028276936289563466,10.508999824523926,,-1
2020-07-10,10.479249954223633,-1.0,-0.0028349091075398325,,,0
2020-07-13,10.052249908447266,1.0,-0.04160062614133183,,10.052249908447266,1
2020-07-14,10.376999855041504,1.0,0.03179532371703811,,,0
2020-07-15,10.227250099182129,1.0,-0.01453606833468827,,,0
2020-07-16,10.134750366210938,1.0,-0.009085587580889513,,,0
2020-07-17,10.201499938964844,1.0,0.006564613580354031,,,0
2020-07-20,10.510749816894531,-1.0,0.029863763212268874,10.510749816894531,,-1
2020-07-21,10.328499794006348,-1.0,-0.017491481019003968,,,0
2020-07-22,10.438750267028809,-1.0,0.01061782455386494,,,0
2020-07-23,10.12975025177002,1.0,-0.03004820542604599,,10.12975025177002,1
2020-07-24,10.194499969482422,1.0,0.0063716925415675625,,,0
2020-07-27,10.421500205993652,1.0,0.022022643484448812,,,0
2020-07-28,10.215499877929688,1.0,-0.0199648369175969,,,0
2020-07-29,10.465499877929688,1.0,0.02417795865298451,,,0
2020-07-30,10.61400032043457,1.0,0.014089793194310815,,,0
2020-07-31,10.614749908447266,1.0,7.062007936642181e-05,,,0
2020-08-03,11.010250091552734,1.0,0.0365821307474882,,,0
2020-08-04,11.227749824523926,1.0,0.019561711436444997,,,0
2020-08-05,11.286749839782715,1.0,0.005241080298829442,,,0
2020-08-06,11.33549976348877,-1.0,0.004309916124462932,11.33549976348877,,-1
2020-08-07,11.19950008392334,-1.0,-0.012070231341223966,,,0
2020-08-10,11.164999961853027,-1.0,-0.003085260065409424,,,0
2020-08-11,10.850000381469727,1.0,-0.028618766730496355,,10.850000381469727,1
2020-08-12,11.440250396728516,1.0,0.05297275839306807,,,0
2020-08-13,11.442999839782715,1.0,0.0002403017962057987,,,0
2020-08-14,11.564000129699707,1.0,0.010518660035674662,,,0
2020-08-17,12.336999893188477,1.0,0.06470603306159119,,,0
2020-08-18,12.260749816894531,1.0,-0.0061997801774219975,,,0
2020-08-19,12.138500213623047,1.0,-0.010020851142260156,,,0
2020-08-20,12.140999794006348,1.0,0.00020590048323447846,,,0
2020-08-21,12.683500289916992,1.0,0.04371382142046239,,,0
2020-08-24,12.720250129699707,1.0,0.0028932629876822873,,,0
2020-08-25,12.75,1.0,0.0023360496012304337,,,0
2020-08-26,12.77299976348877,1.0,0.001802277939706439,,,0
2020-08-27,12.628250122070312,1.0,-0.011397172102017667,,,0
2020-08-28,13.147749900817871,1.0,0.04031425633666437,,,0
2020-08-31,13.374500274658203,1.0,0.017099295662903715,,,0
2020-09-01,13.821000099182129,1.0,0.03283925235638813,,,0
2020-09-02,14.346500396728516,-1.0,0.0373168558728193,14.346500396728516,,-1
2020-09-03,13.01550006866455,-1.0,-0.09736507747578385,,,0
2020-09-04,12.6225004196167,-1.0,-0.030659991200633074,,,0
2020-09-08,11.913000106811523,1.0,-0.05785071921129476,,11.913000106811523,1
2020-09-09,12.71500015258789,-1.0,0.06515216109151593,12.71500015258789,,-1
2020-09-10,12.311750411987305,-1.0,-0.03222828647445947,,,0
2020-09-11,12.16450023651123,1.0,-0.012032231087463575,,12.16450023651123,1
2020-09-14,12.872249603271484,1.0,0.056551907369491276,,,0
